Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
103185;Birla Sun Life Monthly Income-Plan B(Growth);27.6048;27.3288;27.6048;20-Sep-2007
103186;Birla Sun Life Monthly Income-Plan C(Quarterly Dividend);11.7805;11.6627;11.7805;20-Sep-2007
106157;Birla Sun Life Short Term Fund-Plan (Fortnightly Dividend);10.0268;10.0017;10.0268;20-Sep-2007
103175;Birla Sun Life Short Term Fund-Plan A(Monthly Dividend);10.5542;10.5278;10.5542;20-Sep-2007
103176;Birla Sun Life Short Term Fund-Plan B(Growth);14.0609;14.0257;14.0609;20-Sep-2007

BOB Mutual Fund
102670;BOB CHILDREN FUND-GIFT PLAN;10.5602;10.4546;10.5602;21-Sep-2007

102671;BOB CHILDREN FUND-STUDY PLAN;9.8012;9.7032;9.8012;21-Sep-2007
101155;BOB INCOME FUND-Dividend Plan;12.9648;12.9000;12.9648;21-Sep-2007
101154;BOB INCOME FUND-Growth Plan;12.9648;12.9000;12.9648;21-Sep-2007
102661;BOB MIP FUND-Growth Plan;11.8803;11.8209;11.8803;21-Sep-2007
102662;BOB MIP FUND-Monthly Dividend Plan;11.8852;11.8258;11.8852;21-Sep-2007
102663;BOB MIP FUND-Quarterly Dividend Plan;11.8808;11.8214;11.8808;21-Sep-2007

Canbank Mutual Fund
100601;CANCIGO-Growth Plan;22.01;22.01;22.01;21-Sep-2007
100600;CANCIGO-Income Plan;12.55;12.55;12.55;21-Sep-2007
101589;CANINCOME-Bonus Plan;12.5759;12.5759;12.5759;21-Sep-2007
101588;CANINCOME-Growth Plan;13.7267;13.7267;13.7267;21-Sep-2007
101587;CANINCOME-Income Plan;12.4865;12.4865;12.4865;21-Sep-2007
106326;Canliquid Plus- Institutional Plan- Daily Dividend Reinvestment Option;12.4071;12.4071;12.4071;21-Sep-2007
106330;Canliquid Plus- Institutional Plan- Growth option;12.7074;12.7074;12.7074;21-Sep-2007
106327;Canliquid Plus- Institutional Plan- Weekly Dividend Reinvestment option;12.4099;12.4099;12.4099;21-Sep-2007
106329;Canliquid Plus- Retail Plan- Growth Option;12.7074;12.7074;12.7074;21-Sep-2007
106324;Canliquid Plus- Retail Plan- Income option;12.4979;12.4979;12.4979;21-Sep-2007
106325;Canlquid Plus- Retail Plan- Daily Dividend Reinvestment Option;12.4071;12.4071;12.4071;21-Sep-2007

DBS Chola Mutual Fund
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;12.4491;12.4491;12.4491;21-Sep-2007
105738;DBS Chola Freedom Income -Short Term Fund-Daily Dividend Re-investment Plan;10.0000;10.0000;10.0000;21-Sep-2007
100575;DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative;12.3040;12.3040;12.3040;21-Sep-2007
100574;DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend;11.0846;11.0846;11.0846;21-Sep-2007
105693;DBS Chola Freedom Income -Short Term Fund-Weekly Dividend- Institutional Plan;10.0283;10.0283;10.0283;21-Sep-2007
101192;DBS Chola Freedom Income-STF Regular-Semi Annual Dividend;12.2020;12.2020;12.2020;21-Sep-2007
101958;DBS Chola Liquid Fund - Institutional Plus Weekly Dividend;11.9580;11.9580;11.9580;21-Sep-2007
101905;DBS Chola Monthly Income Plan - Regular - Bonus;12.9003;12.9003;12.9003;3-Oct-2006
102019;DBS Chola Monthly Income Plan -Reg.-Quarterly Dividend Plan;10.6191;10.6191;10.6191;21-Sep-2007
